Date,Value,country
2016-12-31,55670.924142592,AUS
2015-12-31,54941.911457523,AUS
2014-12-31,54394.334265508,AUS
2013-12-31,53798.358506232,AUS
2012-12-31,53348.388968866,AUS
2011-12-31,52372.154537531,AUS
2010-12-31,51874.080481996,AUS
2009-12-31,51651.223257558,AUS
2008-12-31,51788.440148049,AUS
2007-12-31,50952.467037889,AUS
2006-12-31,49418.686319594,AUS
2005-12-31,48702.734693348,AUS
2004-12-31,47817.8992322,AUS
2003-12-31,46449.845186615,AUS
2002-12-31,45626.622031273,AUS
2001-12-31,44473.408607883,AUS
2000-12-31,44223.591236736,AUS
1999-12-31,43087.44671899,AUS
1998-12-31,41504.495897645,AUS
1997-12-31,40156.335249574,AUS
1996-12-31,39065.924382787,AUS
1995-12-31,38078.903947085,AUS
1994-12-31,37098.798777571,AUS
1993-12-31,36033.635884343,AUS
1992-12-31,34967.51772402,AUS
1991-12-31,35240.582540066,AUS
1990-12-31,35827.096719642,AUS
1989-12-31,35121.212687505,AUS
1988-12-31,34386.253357352,AUS
1987-12-31,33044.57541664,AUS
1986-12-31,32707.672196277,AUS
1985-12-31,31938.616201793,AUS
1984-12-31,30763.445855031,AUS
1983-12-31,29736.698627812,AUS
1982-12-31,30797.996390425,AUS
1981-12-31,30309.760969728,AUS
1980-12-31,29794.538462803,AUS
1979-12-31,29266.600655715,AUS
1978-12-31,28431.414837911,AUS
1977-12-31,28507.901911167,AUS
1976-12-31,27827.001236049,AUS
1975-12-31,27397.556872672,AUS
1974-12-31,27372.123905857,AUS
1973-12-31,26968.959941845,AUS
1972-12-31,26690.66003826,AUS
1971-12-31,26162.394444951,AUS
1970-12-31,26020.207944899,AUS
1969-12-31,24763.082889953,AUS
1968-12-31,23621.379460868,AUS
1967-12-31,22876.9934362,AUS
1966-12-31,21794.992581913,AUS
1965-12-31,21783.248676864,AUS
1964-12-31,20961.185903746,AUS
1963-12-31,19982.690530149,AUS
1962-12-31,19178.09101003,AUS
1961-12-31,19394.616172823,AUS
1960-12-31,19306.552974937,AUS
2016-12-31,10826.27143483,BRA
2015-12-31,11322.146680437,BRA
2014-12-31,11866.388922425,BRA
2013-12-31,11912.146755749,BRA
2012-12-31,11671.182942714,BRA
2011-12-31,11559.212271443,BRA
2010-12-31,11224.154082935,BRA
2009-12-31,10540.108766686,BRA
2008-12-31,10658.225307719,BRA
2007-12-31,10245.23081298,BRA
2006-12-31,9761.8764015773,BRA
2005-12-31,9495.1049391301,BRA
2004-12-31,9309.0081951399,BRA
2003-12-31,8910.8556241427,BRA
2002-12-31,8924.3335279813,BRA
2001-12-31,8776.8637193639,BRA
2000-12-31,8778.1881408168,BRA
1999-12-31,8554.834439096,BRA
1998-12-31,8644.4208430246,BRA
1997-12-31,8750.2740576768,BRA
1996-12-31,8598.0149587982,BRA
1995-12-31,8547.9411597069,BRA
1994-12-31,8319.2090238292,BRA
1993-12-31,8027.1893843072,BRA
1992-12-31,7796.8418308987,BRA
1991-12-31,7966.7964675878,BRA
1990-12-31,7986.045872969,BRA
1989-12-31,8391.1922921274,BRA
1988-12-31,8276.5425217279,BRA
1987-12-31,8445.0369946226,BRA
1986-12-31,8314.8789207439,BRA
1985-12-31,7860.0155781109,BRA
1984-12-31,7439.1108105555,BRA
1983-12-31,7225.5383585239,BRA
1982-12-31,7653.5595618564,BRA
1981-12-31,7788.3335462158,BRA
1980-12-31,8339.2691185217,BRA
1979-12-31,7824.8643561318,BRA
1978-12-31,7504.2960198983,BRA
1977-12-31,7443.8986450284,BRA
1976-12-31,7287.5190951197,BRA
1975-12-31,6798.0967138047,BRA
1974-12-31,6617.8835895209,BRA
1973-12-31,6216.1308159222,BRA
1972-12-31,5586.6838237326,BRA
1971-12-31,5108.945626362,BRA
1970-12-31,4706.126392515,BRA
1969-12-31,4438.0277246832,BRA
1968-12-31,4150.4852673189,BRA
1967-12-31,3824.7543132096,BRA
1966-12-31,3745.5225293671,BRA
1965-12-31,3697.0390118557,BRA
1964-12-31,3690.4486855318,BRA
1963-12-31,3670.8262974644,BRA
1962-12-31,3747.3862627079,BRA
1961-12-31,3668.0244852352,BRA
1960-12-31,3424.9970894149,BRA
2016-12-31,41954.737516953,GBR
2015-12-31,41536.919115036,GBR
2014-12-31,40908.745855067,GBR
2013-12-31,39996.501901986,GBR
2012-12-31,39455.412136103,GBR
2011-12-31,39150.756018511,GBR
2010-12-31,38893.018493736,GBR
2009-12-31,38545.915816423,GBR
2008-12-31,40536.134857443,GBR
2007-12-31,41050.405926485,GBR
2006-12-31,40418.747304743,GBR
2005-12-31,39740.902921319,GBR
2004-12-31,38813.021693673,GBR
2003-12-31,38132.841085908,GBR
2002-12-31,37077.648354894,GBR
2001-12-31,36341.709750485,GBR
2000-12-31,35576.766847364,GBR
1999-12-31,34442.107094585,GBR
1998-12-31,33480.166013405,GBR
1997-12-31,32556.316695433,GBR
1996-12-31,31373.341189704,GBR
1995-12-31,30674.605546525,GBR
1994-12-31,30014.581398898,GBR
1993-12-31,28967.155045356,GBR
1992-12-31,28321.034526206,GBR
1991-12-31,28291.921960378,GBR
1990-12-31,28691.292874506,GBR
1989-12-31,28568.126538805,GBR
1988-12-31,27925.081236371,GBR
1987-12-31,26465.995011181,GBR
1986-12-31,25185.830401984,GBR
1985-12-31,24479.425425821,GBR
1984-12-31,23547.164675609,GBR
1983-12-31,23059.570217066,GBR
1982-12-31,22132.998246799,GBR
1981-12-31,21688.996340987,GBR
1980-12-31,21865.128076835,GBR
1979-12-31,22344.368377467,GBR
1978-12-31,21557.849740521,GBR
1977-12-31,20689.657017498,GBR
